,Datos,X(intentos totales),Mano dominante ,Altura del saque ,Tiempo del saque
,45,41,Mano Izquierda ,Arriba de los Hombros,"2,17"
,46,6,Mano Izquierda ,Arriba de los Hombros,"2,70"
,47,6,Mano Izquierda ,Arriba de los Hombros,"1,67"
,48,8,Mano Izquierda ,Arriba de los Hombros,"1,90"
,49,6,Mano Izquierda ,Arriba de los Hombros,"2,30"
,50,9,Mano Izquierda ,Arriba de los Hombros,"2,44"
,51,3,Mano Izquierda ,Arriba de los Hombros,"2,66"
,52,5,Mano Izquierda ,Arriba de los Hombros,"2,50"
,53,7,Mano Izquierda ,Arriba de los Hombros,"2,87"
,54,10,Mano Izquierda ,Arriba de los Hombros,"1,67"
,55,15,Mano Izquierda ,Arriba de los Hombros,"1,45"
,56,8,Mano Izquierda ,Arriba de los Hombros,"1,66"
,57,19,Mano Izquierda ,Arriba de los Hombros,"1,78"
,58,16,Mano Izquierda ,Arriba de los Hombros,"1,90"
,59,10,Mano Izquierda ,Arriba de los Hombros,"1,87"
,60,6,Mano Izquierda ,Arriba de los Hombros,"1,98"
,61,9,Mano Izquierda ,Arriba de los Hombros,"1,58"
,62,3,Mano Izquierda ,Abajo de la Cintura,"1,52"
,63,10,Mano Izquierda ,Abajo de la Cintura,"1,85"
,64,15,Mano Izquierda ,Abajo de la Cintura,"1,50"
,65,4,Mano Izquierda ,Abajo de la Cintura,"1,59"
,66,4,Mano Izquierda ,Arriba de la Cintura,"1,70"
,67,5,Mano Izquierda ,Arriba de la Cintura,"1,54"
,68,4,Mano Izquierda ,Arriba de la Cintura,"2,00"
,69,6,Mano Izquierda ,Arriba de la Cintura,"1,54"
,70,10,Mano Izquierda ,Arriba de la Cintura,"1,92"
,71,4,Mano Izquierda ,Arriba de la Cintura,"1,61"
,72,6,Mano Izquierda ,Arriba de la Cintura,"2,50"
,73,7,Mano Izquierda ,Arriba de la Cintura,"2,87"
,74,8,Mano Izquierda ,Arriba de la Cintura,"1,67"
,75,7,Mano Izquierda ,Arriba de la Cintura,"1,59"
,76,14,Mano Izquierda ,Arriba de la Cintura,"1,74"
,77,9,Mano Derecha,Abajo de la Cintura,"1,80"
,78,7,Mano Derecha,Abajo de la Cintura,"1,65"
,79,4,Mano Derecha,Abajo de la Cintura,"1,65"
,80,5,Mano Derecha,Abajo de la Cintura,"1,30"
,81,6,Mano Derecha,Abajo de la Cintura,"1,51"
,82,7,Mano Derecha,Abajo de la Cintura,"1,40"
,83,5,Mano Derecha,Abajo de la Cintura,"1,91"
,84,3,Mano Derecha,Abajo de la Cintura,"1,84"
,85,4,Mano Derecha,Abajo de la Cintura,"1,58"
,86,6,Mano Derecha,Abajo de la Cintura,"2,20"
,87,4,Mano Derecha,Abajo de la Cintura,"1,66"
,88,6,Mano Derecha,Abajo de la Cintura,"1,78"
,89,9,Mano Derecha,Abajo de la Cintura,"1,65"
,90,6,Mano Derecha,Abajo de la Cintura,"1,99"
,91,5,Mano Derecha,Abajo de la Cintura,"2,24"
,92,4,Mano Derecha,Abajo de la Cintura,"1,86"
,93,7,Mano Derecha,Abajo de la Cintura,"1,98"
,94,7,Mano Derecha,Abajo de la Cintura,"1,75"
,95,9,Mano Derecha,Abajo de la Cintura,"1,72"
,96,6,Mano Derecha,Abajo de la Cintura,"1,79"
,97,3,Mano Derecha,Abajo de la Cintura,"1,52"
,98,7,Mano Derecha,Abajo de la Cintura,"1,54"
,99,7,Mano Derecha,Abajo de la Cintura,"1,54"
,100,6,Mano Derecha,Abajo de la Cintura,"1,56"
,101,5,Mano Derecha,Abajo de la Cintura,"1,91"
,102,6,Mano Derecha,Abajo de la Cintura,"1,85"
,103,7,Mano Derecha,Abajo de la Cintura,"2,25"
,104,9,Mano Derecha,Abajo de la Cintura,"1,39"
,105,9,Mano Derecha,Abajo de la Cintura,"1,50"
,106,7,Mano Derecha,Abajo de la Cintura,"1,72"
,107,9,Mano Derecha,Abajo de la Cintura,"1,99"
,108,3,Mano Derecha,Abajo de la Cintura,"1,79"
,109,3,Mano Derecha,Abajo de la Cintura,"2,40"
,110,8,Mano Derecha,Abajo de la Cintura,"1,60"
,111,9,Mano Derecha,Abajo de la Cintura,"1,72"
,112,9,Mano Derecha,Abajo de la Cintura,"1,78"
,113,9,Mano Derecha,Abajo de la Cintura,"1,81"
,114,10,Mano Derecha,Abajo de la Cintura,"2,11"
,115,9,Mano Derecha,Abajo de la Cintura,"1,78"
,116,9,Mano Derecha,Abajo de la Cintura,"1,89"
,117,5,Mano Derecha,Abajo de la Cintura,"1,59"
,118,6,Mano Derecha,Abajo de la Cintura,"1,85"
,119,6,Mano Derecha,Abajo de la Cintura,"1,94"
,120,11,Mano Derecha,Abajo de la Cintura,"1,97"
,121,5,Mano Derecha,Abajo de la Cintura,"1,96"
,122,3,Mano Derecha,Abajo de la Cintura,"1,68"
,123,6,Mano Derecha,Abajo de la Cintura,"1,79"
,124,14,Mano Derecha,Abajo de la Cintura,"1,57"
,125,6,Mano Derecha,Abajo de la Cintura,"1,42"
,126,18,Mano Derecha,Abajo de la Cintura,"1,67"
,127,11,Mano Derecha,Abajo de la Cintura,"1,76"
,128,8,Mano Derecha,Abajo de la Cintura,"1,37"
,129,10,Mano Derecha,Abajo de la Cintura,"1,61"
,130,12,Mano Derecha,Abajo de la Cintura,"1,54"
,131,11,Mano Derecha,Abajo de la Cintura,"1,24"
,132,10,Mano Derecha,Abajo de la Cintura,"1,61"
,133,10,Mano Derecha,Arriba de la Cintura,"1,61"
,134,6,Mano Derecha,Arriba de la Cintura,"1,79"
,135,10,Mano Derecha,Arriba de la Cintura,"1,54"
,136,14,Mano Derecha,Arriba de la Cintura,"1,57"
,137,5,Mano Derecha,Arriba de la Cintura,"1,43"
,138,14,Mano Derecha,Arriba de la Cintura,"1,63"
,139,11,Mano Derecha,Arriba de la Cintura,"1,70"
,140,14,Mano Izquierda ,Arriba de la Cintura,"2,32"
,141,16,Mano Izquierda ,Arriba de la Cintura,"1,97"
,142,13,Mano Izquierda ,Arriba de la Cintura,"1,85"
,143,6,Mano Izquierda ,Arriba de la Cintura,"2,05"
,144,9,Mano Izquierda ,Arriba de la Cintura,"2,02"
,145,27,Mano Izquierda ,Arriba de la Cintura,"2,41"
,146,8,Mano Izquierda ,Arriba de la Cintura,"2,78"
,147,5,Mano Izquierda ,Arriba de la Cintura,"1,85"
,148,8,Mano Izquierda ,Arriba de la Cintura,"1,87"
,149,12,Mano Izquierda ,Arriba de la Cintura,"2,14"
,150,3,Mano Izquierda ,Arriba de la Cintura,"1,87"
,151,15,Mano Izquierda ,Arriba de la Cintura,"2,09"
,152,8,Mano Izquierda ,Arriba de la Cintura,"2,13"
,153,12,Mano Izquierda ,Arriba de la Cintura,"2,67"
,154,8,Mano Izquierda ,Arriba de la Cintura,"2,00"
,155,27,Mano Izquierda ,Arriba de la Cintura,"1,63"
,156,7,Mano Izquierda ,Arriba de la Cintura,"1,74"
,157,21,Mano Izquierda ,Arriba de la Cintura,"1,98"
